,0
fullTimeEmployees,0.9761997658993368
grossProfits,0.9734685914943426
totalRevenue,0.9672259071400703
priceToSalesTrailing12Months,0.9672259071400703
revenuePerShare,0.9668357393679282
boardRisk,0.9660554038236442
auditRisk,0.9660554038236442
governanceEpochDate,0.9660554038236442
overallRisk,0.9660554038236442
compensationRisk,0.9660554038236442
shareHolderRightsRisk,0.9660554038236442
enterpriseToRevenue,0.9605930550136559
state,0.9586422161529458
epsCurrentYear,0.9543503706593836
priceEpsCurrentYear,0.9539602028872415
revenueGrowth,0.9488880218493952
beta,0.9352321498244245
returnOnEquity,0.9328911431915724
earningsCallTimestampStart,0.9180647678501755
earningsCallTimestampEnd,0.9180647678501755
currentRatio,0.9126024190401872
quickRatio,0.9118220834959032
operatingCashflow,0.9106515801794772
ebitda,0.8915333593445182
enterpriseToEbitda,0.8860710105345299
displayName,0.8813889972688256
debtToEquity,0.8626609442060086
freeCashflow,0.8622707764338665
recommendationMean,0.8146703082325399
averageAnalystRating,0.8146703082325399
trailingPE,0.6874756145142411
earningsQuarterlyGrowth,0.5973468591494343
dividendDate,0.5953960202887242
lastDividendValue,0.5950058525165821
lastDividendDate,0.5950058525165821
exDividendDate,0.5914943425673039
earningsGrowth,0.5883730003901678
dividendYield,0.518142801404604
dividendRate,0.5177526336324619
address2,0.49005072181037845
fiveYearAvgDividendYield,0.48614904408895826
lastSplitDate,0.4678111587982833
lastSplitFactor,0.4678111587982833
irWebsite,0.3765119001170503
trailingPegRatio,0.2976980101443621
fax,0.19313304721030042
ipoExpectedDate,0.11002731174404994
prevName,0.08661724541552868
nameChangeDate,0.08661724541552868
fundInceptionDate,0.0003901677721420211
netExpenseRatio,0.0003901677721420211
netAssets,0.0003901677721420211
trailingThreeMonthNavReturns,0.0003901677721420211
trailingThreeMonthReturns,0.0003901677721420211
fiveYearAverageReturn,0.0003901677721420211
threeYearAverageReturn,0.0003901677721420211
legalType,0.0003901677721420211
beta3Year,0.0003901677721420211
fundFamily,0.0003901677721420211
ytdReturn,0.0003901677721420211
category,0.0003901677721420211
navPrice,0.0003901677721420211
totalAssets,0.0003901677721420211
yield,0.0003901677721420211
newSymbol,0.0003901677721420211
industrySymbol,0.0003901677721420211
