,0
earningsCallTimestampStart,0.08190327613104524
earningsCallTimestampEnd,0.08190327613104524
currentRatio,0.0873634945397816
quickRatio,0.08814352574102964
operatingCashflow,0.08970358814352575
ebitda,0.10842433697347893
enterpriseToEbitda,0.11388455538221529
displayName,0.11856474258970359
debtToEquity,0.1372854914196568
freeCashflow,0.13806552262090482
recommendationMean,0.1856474258970359
averageAnalystRating,0.1856474258970359
trailingPE,0.312402496099844
earningsQuarterlyGrowth,0.40249609984399376
dividendDate,0.4044461778471139
lastDividendValue,0.4048361934477379
lastDividendDate,0.4048361934477379
exDividendDate,0.4083463338533541
earningsGrowth,0.41146645865834636
dividendYield,0.48166926677067085
dividendRate,0.48205928237129486
address2,0.5101404056162246
fiveYearAvgDividendYield,0.5140405616224649
lastSplitFactor,0.532371294851794
lastSplitDate,0.532371294851794
irWebsite,0.6236349453978159
trailingPegRatio,0.7024180967238689
fax,0.8069422776911076
ipoExpectedDate,0.890015600624025
prevName,0.9134165366614665
nameChangeDate,0.9134165366614665
legalType,0.999609984399376
trailingThreeMonthNavReturns,0.999609984399376
trailingThreeMonthReturns,0.999609984399376
netAssets,0.999609984399376
fiveYearAverageReturn,0.999609984399376
threeYearAverageReturn,0.999609984399376
fundInceptionDate,0.999609984399376
totalAssets,0.999609984399376
beta3Year,0.999609984399376
ytdReturn,0.999609984399376
category,0.999609984399376
navPrice,0.999609984399376
yield,0.999609984399376
newSymbol,0.999609984399376
netExpenseRatio,0.999609984399376
fundFamily,0.999609984399376
industrySymbol,0.999609984399376
